# omega DOS_nb9 DOS_nb19 DOS_nb29
-1.875999999999999890e+00 2.799999999999999972e-03 2.815999999999999927e-03 3.351999999999999945e-03
-1.872000000000000108e+00 2.944000000000000002e-03 2.743999999999999911e-03 3.599999999999999901e-03
-1.868000000000000105e+00 3.119999999999999944e-03 2.696000000000000046e-03 3.808000000000000187e-03
-1.864000000000000101e+00 3.327999999999999795e-03 2.680000000000000090e-03 3.919999999999999873e-03
-1.860000000000000098e+00 3.543999999999999841e-03 2.688000000000000285e-03 3.896000000000000157e-03
-1.856000000000000094e+00 3.719999999999999783e-03 2.719999999999999762e-03 3.767999999999999648e-03
-1.852000000000000091e+00 3.815999999999999948e-03 2.775999999999999822e-03 3.576000000000000185e-03
-1.848000000000000087e+00 3.792000000000000232e-03 2.856000000000000032e-03 3.384000000000000289e-03
-1.844000000000000083e+00 3.680000000000000111e-03 2.968000000000000152e-03 3.232000000000000064e-03
-1.840000000000000080e+00 3.536000000000000081e-03 3.111999999999999749e-03 3.111999999999999749e-03
-1.836000000000000076e+00 3.392000000000000050e-03 3.304000000000000079e-03 3.031999999999999973e-03
-1.832000000000000073e+00 3.288000000000000124e-03 3.543999999999999841e-03 2.991999999999999868e-03
-1.828000000000000069e+00 3.216000000000000109e-03 3.824000000000000142e-03 2.983999999999999674e-03
-1.824000000000000066e+00 3.191999999999999525e-03 4.144000000000000114e-03 3.007999999999999823e-03
-1.820000000000000062e+00 3.200000000000000153e-03 4.447999999999999697e-03 3.063999999999999883e-03
-1.816000000000000059e+00 3.248000000000000019e-03 4.663999999999999743e-03 3.151999999999999854e-03
-1.812000000000000055e+00 3.335999999999999990e-03 4.720000000000000237e-03 3.271999999999999735e-03
-1.808000000000000052e+00 3.472000000000000260e-03 4.608000000000000117e-03 3.439999999999999915e-03
-1.804000000000000048e+00 3.656000000000000395e-03 4.383999999999999876e-03 3.656000000000000395e-03
-1.800000000000000044e+00 3.896000000000000157e-03 4.127999999999999725e-03 3.936000000000000262e-03
-1.796000000000000041e+00 4.200000000000000608e-03 3.903999999999999918e-03 4.271999999999999756e-03
-1.792000000000000037e+00 4.568000000000000012e-03 3.727999999999999977e-03 4.655999999999999549e-03
-1.788000000000000034e+00 4.968000000000000194e-03 3.599999999999999901e-03 5.032000000000000015e-03
-1.784000000000000030e+00 5.343999999999999792e-03 3.536000000000000081e-03 5.320000000000000076e-03
-1.780000000000000027e+00 5.599999999999999943e-03 3.511999999999999931e-03 5.415999999999999807e-03
-1.776000000000000023e+00 5.648000000000000242e-03 3.527999999999999886e-03 5.303999999999999687e-03
-1.772000000000000020e+00 5.487999999999999823e-03 3.592000000000000141e-03 5.040000000000000209e-03
-1.768000000000000016e+00 5.207999999999999956e-03 3.703999999999999827e-03 4.720000000000000237e-03
-1.764000000000000012e+00 4.911999999999999700e-03 3.864000000000000247e-03 4.423999999999999981e-03
-1.760000000000000009e+00 4.655999999999999549e-03 4.087999999999999620e-03 4.184000000000000219e-03
-1.756000000000000005e+00 4.479999999999999608e-03 4.375999999999999682e-03 4.016000000000000472e-03
-1.752000000000000002e+00 4.375999999999999682e-03 4.752000000000000147e-03 3.912000000000000546e-03
-1.747999999999999998e+00 4.343999999999999771e-03 5.199999999999999761e-03 3.864000000000000247e-03
-1.743999999999999995e+00 4.392000000000000071e-03 5.712000000000000063e-03 3.864000000000000247e-03
-1.739999999999999991e+00 4.519999999999999712e-03 6.207999999999999977e-03 3.919999999999999873e-03
-1.735999999999999988e+00 4.728000000000000431e-03 6.576000000000000248e-03 4.023999999999999799e-03
-1.731999999999999984e+00 5.023999999999999820e-03 6.680000000000000174e-03 4.191999999999999546e-03
-1.727999999999999980e+00 5.432000000000000196e-03 6.511999999999999560e-03 4.423999999999999981e-03
-1.723999999999999977e+00 5.943999999999999631e-03 6.144000000000000156e-03 4.735999999999999759e-03
-1.719999999999999973e+00 6.551999999999999665e-03 5.712000000000000063e-03 5.135999999999999940e-03
-1.715999999999999970e+00 7.199999999999999803e-03 5.311999999999999882e-03 5.623999999999999659e-03
-1.711999999999999966e+00 7.743999999999999148e-03 5.000000000000000104e-03 6.184000000000000261e-03
-1.707999999999999963e+00 8.015999999999998821e-03 4.767999999999999669e-03 6.743999999999999995e-03
-1.703999999999999959e+00 7.928000000000001019e-03 4.631999999999999833e-03 7.176000000000000087e-03
-1.699999999999999956e+00 7.527999999999999969e-03 4.568000000000000012e-03 7.327999999999999445e-03
-1.695999999999999952e+00 6.968000000000000235e-03 4.576000000000000206e-03 7.167999999999999025e-03
-1.691999999999999948e+00 6.415999999999999828e-03 4.648000000000000222e-03 6.768000000000000578e-03
-1.687999999999999945e+00 5.943999999999999631e-03 4.800000000000000447e-03 6.288000000000000186e-03
-1.683999999999999941e+00 5.591999999999999749e-03 5.032000000000000015e-03 5.831999999999999511e-03
-1.679999999999999938e+00 5.343999999999999792e-03 5.360000000000000181e-03 5.471999999999999434e-03
-1.675999999999999934e+00 5.207999999999999956e-03 5.784000000000000079e-03 5.199999999999999761e-03
-1.671999999999999931e+00 5.159999999999999656e-03 6.328000000000000291e-03 5.032000000000000015e-03
-1.667999999999999927e+00 5.199999999999999761e-03 6.968000000000000235e-03 4.943999999999999610e-03
-1.663999999999999924e+00 5.328000000000000271e-03 7.631999999999999895e-03 4.943999999999999610e-03
-1.659999999999999920e+00 5.544000000000000317e-03 8.192000000000001364e-03 5.016000000000000493e-03
-1.655999999999999917e+00 5.872000000000000483e-03 8.472000000000000364e-03 5.167999999999999851e-03
-1.651999999999999913e+00 6.320000000000000964e-03 8.375999999999999765e-03 5.400000000000000286e-03
-1.647999999999999909e+00 6.872000000000000504e-03 7.976000000000000451e-03 5.735999999999999779e-03
