# omega DOS_nb8 DOS_nb18 DOS_nb28
-1.899999999999999911e+00 3.919999999999999873e-03 7.272000000000000686e-03 4.176000000000000024e-03
-1.895999999999999908e+00 3.743999999999999932e-03 7.240000000000000775e-03 4.096000000000000682e-03
-1.891999999999999904e+00 3.599999999999999901e-03 7.392000000000000133e-03 4.048000000000000383e-03
-1.887999999999999901e+00 3.488000000000000215e-03 7.656000000000000479e-03 4.031999999999999994e-03
-1.883999999999999897e+00 3.392000000000000050e-03 7.911999999999998895e-03 4.031999999999999994e-03
-1.879999999999999893e+00 3.311999999999999840e-03 8.000000000000000167e-03 4.063999999999999904e-03
-1.875999999999999890e+00 3.248000000000000019e-03 7.824000000000001093e-03 4.120000000000000398e-03
-1.872000000000000108e+00 3.200000000000000153e-03 7.383999999999999939e-03 4.207999999999999935e-03
-1.868000000000000105e+00 3.160000000000000482e-03 6.807999999999999816e-03 4.328000000000000250e-03
-1.864000000000000101e+00 3.128000000000000138e-03 6.231999999999999693e-03 4.488000000000000669e-03
-1.860000000000000098e+00 3.111999999999999749e-03 5.720000000000000258e-03 4.687999999999999459e-03
-1.856000000000000094e+00 3.103999999999999988e-03 5.311999999999999882e-03 4.936000000000000283e-03
-1.852000000000000091e+00 3.103999999999999988e-03 4.991999999999999910e-03 5.256000000000000255e-03
-1.848000000000000087e+00 3.111999999999999749e-03 4.752000000000000147e-03 5.664000000000000631e-03
-1.844000000000000083e+00 3.128000000000000138e-03 4.576000000000000206e-03 6.176000000000000066e-03
-1.840000000000000080e+00 3.160000000000000482e-03 4.455999999999999892e-03 6.816000000000000010e-03
-1.836000000000000076e+00 3.207999999999999914e-03 4.383999999999999876e-03 7.631999999999999895e-03
-1.832000000000000073e+00 3.271999999999999735e-03 4.343999999999999771e-03 8.663999999999999826e-03
-1.828000000000000069e+00 3.351999999999999945e-03 4.336000000000000444e-03 9.951999999999999041e-03
-1.824000000000000066e+00 3.455999999999999871e-03 4.360000000000000160e-03 1.151199999999999966e-02
-1.820000000000000062e+00 3.583999999999999513e-03 4.415999999999999787e-03 1.328799999999999946e-02
-1.816000000000000059e+00 3.735999999999999738e-03 4.495999999999999996e-03 1.510400000000000111e-02
-1.812000000000000055e+00 3.896000000000000157e-03 4.599999999999999922e-03 1.665600000000000067e-02
-1.808000000000000052e+00 4.048000000000000383e-03 4.743999999999999953e-03 1.758399999999999894e-02
-1.804000000000000048e+00 4.159999999999999636e-03 4.919999999999999894e-03 1.762400000000000078e-02
-1.800000000000000044e+00 4.216000000000000129e-03 5.135999999999999940e-03 1.679200000000000137e-02
-1.796000000000000041e+00 4.232000000000000518e-03 5.400000000000000286e-03 1.536800000000000145e-02
-1.792000000000000037e+00 4.239999999999999845e-03 5.727999999999999585e-03 1.376799999999999899e-02
-1.788000000000000034e+00 4.279999999999999950e-03 6.127999999999999767e-03 1.229599999999999964e-02
-1.784000000000000030e+00 4.367999999999999487e-03 6.615999999999999485e-03 1.107999999999999957e-02
-1.780000000000000027e+00 4.519999999999999712e-03 7.216000000000000192e-03 1.012000000000000052e-02
-1.776000000000000023e+00 4.720000000000000237e-03 7.936000000000000346e-03 9.336000000000000548e-03
-1.772000000000000020e+00 4.928000000000000089e-03 8.791999999999999468e-03 8.672000000000000888e-03
-1.768000000000000016e+00 5.104000000000000030e-03 9.760000000000001313e-03 8.096000000000000765e-03
-1.764000000000000012e+00 5.183999999999999372e-03 1.076000000000000047e-02 7.639999999999999222e-03
-1.760000000000000009e+00 5.144000000000000135e-03 1.169599999999999980e-02 7.320000000000000118e-03
-1.756000000000000005e+00 5.016000000000000493e-03 1.251999999999999988e-02 7.127999999999999788e-03
-1.752000000000000002e+00 4.856000000000000073e-03 1.328799999999999946e-02 7.023999999999999862e-03
-1.747999999999999998e+00 4.720000000000000237e-03 1.414400000000000032e-02 6.936000000000000325e-03
-1.743999999999999995e+00 4.624000000000000506e-03 1.515199999999999880e-02 6.775999999999999905e-03
-1.739999999999999991e+00 4.576000000000000206e-03 1.623999999999999749e-02 6.487999999999998976e-03
-1.735999999999999988e+00 4.559999999999999817e-03 1.716799999999999923e-02 6.112000000000000245e-03
-1.731999999999999984e+00 4.559999999999999817e-03 1.767200000000000021e-02 5.712000000000000063e-03
-1.727999999999999980e+00 4.576000000000000206e-03 1.765599999999999808e-02 5.343999999999999792e-03
-1.723999999999999977e+00 4.599999999999999922e-03 1.731999999999999859e-02 5.023999999999999820e-03
-1.719999999999999973e+00 4.640000000000000027e-03 1.699200000000000016e-02 4.775999999999999863e-03
-1.715999999999999970e+00 4.712000000000000043e-03 1.695200000000000179e-02 4.576000000000000206e-03
-1.711999999999999966e+00 4.824000000000000163e-03 1.735199999999999937e-02 4.423999999999999981e-03
-1.707999999999999963e+00 4.951999999999999805e-03 1.830400000000000083e-02 4.304000000000000534e-03
-1.703999999999999959e+00 5.088000000000000508e-03 1.988799999999999943e-02 4.224000000000000324e-03
-1.699999999999999956e+00 5.192000000000000434e-03 2.220000000000000098e-02 4.167999999999999830e-03
-1.695999999999999952e+00 5.224000000000000345e-03 2.536800000000000166e-02 4.127999999999999725e-03
-1.691999999999999948e+00 5.192000000000000434e-03 2.951200000000000004e-02 4.120000000000000398e-03
