# omega DOS_nb9 DOS_nb19 DOS_nb29 DOS_nb39 DOS_nb49
-1.663999999999999924e+00 5.619999999999999996e-03 5.539999999999999786e-03 5.680000000000000153e-03 5.559999999999999838e-03 5.559999999999999838e-03
-1.659999999999999920e+00 5.660000000000000100e-03 5.579999999999999891e-03 5.760000000000000363e-03 5.640000000000000048e-03 5.599999999999999943e-03
-1.655999999999999917e+00 5.680000000000000153e-03 5.619999999999999996e-03 5.819999999999999653e-03 5.720000000000000258e-03 5.660000000000000100e-03
-1.651999999999999913e+00 5.740000000000000310e-03 5.680000000000000153e-03 5.879999999999999810e-03 5.799999999999999600e-03 5.720000000000000258e-03
-1.647999999999999909e+00 5.780000000000000415e-03 5.740000000000000310e-03 5.899999999999999863e-03 5.879999999999999810e-03 5.799999999999999600e-03
-1.643999999999999906e+00 5.859999999999999758e-03 5.819999999999999653e-03 5.899999999999999863e-03 5.960000000000000020e-03 5.879999999999999810e-03
-1.639999999999999902e+00 5.919999999999999915e-03 5.879999999999999810e-03 5.899999999999999863e-03 6.000000000000000125e-03 5.939999999999999968e-03
-1.635999999999999899e+00 6.020000000000000177e-03 5.939999999999999968e-03 5.899999999999999863e-03 6.020000000000000177e-03 5.980000000000000072e-03
-1.631999999999999895e+00 6.119999999999999572e-03 5.980000000000000072e-03 5.899999999999999863e-03 6.040000000000000230e-03 6.020000000000000177e-03
-1.627999999999999892e+00 6.199999999999999782e-03 6.000000000000000125e-03 5.919999999999999915e-03 6.020000000000000177e-03 6.020000000000000177e-03
-1.624000000000000110e+00 6.279999999999999992e-03 6.000000000000000125e-03 5.939999999999999968e-03 6.020000000000000177e-03 6.020000000000000177e-03
-1.620000000000000107e+00 6.300000000000000044e-03 6.020000000000000177e-03 5.980000000000000072e-03 6.020000000000000177e-03 6.020000000000000177e-03
-1.616000000000000103e+00 6.320000000000000097e-03 6.020000000000000177e-03 6.040000000000000230e-03 6.040000000000000230e-03 6.020000000000000177e-03
-1.612000000000000099e+00 6.320000000000000097e-03 6.040000000000000230e-03 6.100000000000000387e-03 6.060000000000000282e-03 6.020000000000000177e-03
-1.608000000000000096e+00 6.320000000000000097e-03 6.080000000000000335e-03 6.179999999999999730e-03 6.100000000000000387e-03 6.060000000000000282e-03
