# omega DOS_nb8 DOS_nb18 DOS_nb28 DOS_nb38 DOS_nb48
-1.931999999999999940e+00 3.626666666666666927e-03 5.479999999999999628e-03 8.319999999999999271e-03 7.326666666666666224e-03 7.026666666666667171e-03
-1.927999999999999936e+00 3.433333333333333376e-03 6.186666666666666703e-03 7.786666666666666563e-03 7.206666666666666776e-03 7.233333333333333802e-03
-1.923999999999999932e+00 3.266666666666666417e-03 7.066666666666666409e-03 7.439999999999999565e-03 7.186666666666666724e-03 7.540000000000000695e-03
-1.919999999999999929e+00 3.119999999999999944e-03 8.126666666666665720e-03 7.293333333333333092e-03 7.313333333333334012e-03 7.893333333333333798e-03
-1.915999999999999925e+00 2.993333333333333523e-03 9.339999999999999344e-03 7.346666666666667143e-03 7.626666666666667010e-03 8.300000000000000086e-03
-1.911999999999999922e+00 2.886666666666666287e-03 1.059333333333333481e-02 7.613333333333333064e-03 8.166666666666667559e-03 8.819999999999999715e-03
-1.907999999999999918e+00 2.793333333333333432e-03 1.166666666666666720e-02 8.099999999999999561e-03 8.966666666666666188e-03 9.533333333333332896e-03
-1.903999999999999915e+00 2.706666666666666683e-03 1.230000000000000017e-02 8.853333333333332847e-03 1.007333333333333344e-02 1.053333333333333378e-02
-1.899999999999999911e+00 2.633333333333333446e-03 1.238666666666666562e-02 9.900000000000000813e-03 1.152666666666666596e-02 1.188666666666666517e-02
-1.895999999999999908e+00 2.573333333333333289e-03 1.204666666666666559e-02 1.129999999999999928e-02 1.333333333333333419e-02 1.359333333333333227e-02
-1.891999999999999904e+00 2.513333333333333131e-03 1.152666666666666596e-02 1.305333333333333345e-02 1.538666666666666655e-02 1.553999999999999999e-02
-1.887999999999999901e+00 2.466666666666666920e-03 1.107333333333333260e-02 1.510000000000000057e-02 1.739333333333333356e-02 1.741333333333333275e-02
-1.883999999999999897e+00 2.419999999999999842e-03 1.085999999999999986e-02 1.718000000000000083e-02 1.881999999999999992e-02 1.867999999999999869e-02
-1.879999999999999893e+00 2.386666666666666711e-03 1.097999999999999844e-02 1.880666666666666598e-02 1.914666666666666600e-02 1.882666666666666863e-02
-1.875999999999999890e+00 2.353333333333333579e-03 1.150000000000000154e-02 1.941333333333333452e-02 1.821333333333333485e-02 1.777333333333333196e-02
-1.872000000000000108e+00 2.320000000000000014e-03 1.245333333333333188e-02 1.874666666666666495e-02 1.640000000000000138e-02 1.590666666666666618e-02
-1.868000000000000105e+00 2.299999999999999961e-03 1.386666666666666603e-02 1.708666666666666667e-02 1.426666666666666534e-02 1.378666666666666756e-02
-1.864000000000000101e+00 2.279999999999999909e-03 1.570666666666666739e-02 1.500666666666666642e-02 1.225333333333333309e-02 1.179999999999999973e-02
-1.860000000000000098e+00 2.259999999999999856e-03 1.780666666666666856e-02 1.298666666666666719e-02 1.054666666666666773e-02 1.012666666666666750e-02
-1.856000000000000094e+00 2.246666666666666777e-03 1.977333333333333373e-02 1.125999999999999918e-02 9.186666666666667633e-03 8.773333333333332637e-03
-1.852000000000000091e+00 2.233333333333333264e-03 2.101333333333333178e-02 9.879999999999999893e-03 8.133333333333334428e-03 7.720000000000000299e-03
-1.848000000000000087e+00 2.226666666666666725e-03 2.101333333333333178e-02 8.813333333333334477e-03 7.333333333333333197e-03 6.913333333333333830e-03
-1.844000000000000083e+00 2.220000000000000185e-03 1.975333333333333455e-02 7.960000000000000062e-03 6.726666666666666385e-03 6.306666666666666150e-03
